,price
17980,6500
51425,47500
36964,13000
19272,30500
29758,24000
30756,9500
472,12500
49317,81500
23417,15400
12779,15000
37041,25999
27931,38900
27677,64683
29650,51900
31893,29000
38682,10900
30209,4999
38863,16000
12400,36990
24341,29000
12690,24950
20331,23599
6946,6950
34644,19998
8396,37000
17016,6730
38046,29000
10926,67500
35512,14000
16471,7300
48785,17800
52880,36500
16715,63500
22991,15000
52442,27000
34143,18000
33638,30500
53578,30000
35679,54999
40828,19000
14601,43999
22145,20500
54175,31000
38581,9500
24231,21375
45028,12500
29851,10900
2938,20800
41844,51000
31201,6500
31245,17995
34376,85500
50017,23300
45286,49950
33915,45000
14127,17899
950,10500
37184,13300
3881,38500
18858,9750
19120,6500
48297,28000
4259,32000
33023,19500
31590,26000
22324,26500
39764,53000
37478,15000
30171,24950
8807,33500
12071,39000
15576,34999
36276,49273
37948,18795
53849,25500
51583,22999
20059,27500
10745,26450
2110,16500
38284,29999
49688,17599
27830,11970
40068,26000
53710,38000
8422,10900
41462,40888
1201,45000
43364,55460
2147,12500
15018,48000
53470,15900
51954,54000
47592,60000
37108,55000
7035,51074
22596,39995
9341,36000
37752,60000
5182,85500
33971,29000
23530,37500
1775,35999
28422,6730
24687,18500
1234,6999
15093,10000
50834,48000
13916,44900
43667,9000
18487,25925
8769,6000
40966,23999
20382,31900
52060,48500
1910,74900
4080,45000
15652,59750
50566,24980
25638,16000
9973,6000
46220,4800
54180,75500
2176,15000
25298,24995
47700,36800
4675,5900
14181,44605
36433,41999
8130,54900
29942,10000
53869,9999
45833,37050
11182,7500
29340,37000
15726,24850
43014,48500
29966,47500
25504,51000
652,35113
37036,11800
14977,10750
34135,63900
18417,15499
36498,28500
42615,27000
49079,32000
50626,22500
15089,52590
7811,37000
13466,37999
5119,34500
19396,16750
46320,53900
39694,21500
7850,26999
5396,13900
40855,17500
6796,34500
47524,32500
7774,39848
9255,32500
32469,48500
3645,89000
36469,20500
2763,8700
48858,19500
8575,23000
11475,29995
6788,9500
1708,43999
46084,15900
35170,29950
51095,33999
51120,46000
10274,42250
7291,75000
5086,30000
34394,17800
27406,11499
7805,67800
25177,17500
50094,7750
9137,41950
43624,25500
39760,14500
12993,37500
26365,26999
47981,44800
12487,12350
46976,32500
30596,16750
45578,45500
21266,5500
34298,55999
51903,35500
35663,7999
40687,29999
48173,31000
20948,26000
18256,47000
8698,42900
18698,10400
5037,6750
44233,25900
4604,18000
29434,38005
6395,28750
24666,24000
11509,25000
1855,19500
51714,15500
49301,64500
47852,36500
49267,6999
50746,32000
47298,16000
32437,30000
3179,25500
27025,20000
31230,10000
6661,18051
30336,7500
125,37000
28685,16900
1979,27000
16350,15051
19664,54000
34077,46999
36672,38633
1593,9900
3534,24000
32596,22500
9017,36500
49631,19500
20034,26485
36233,35995
29544,23000
35115,26499
26391,5500
42142,8500
3885,48000
32451,77897
39993,46000
9843,31000
6272,24900
48399,20150
8265,21500
27633,56500
25017,35700
30562,33000
24005,19995
38603,36000
23461,54000
5203,53000
8438,64250
27961,8500
376,45861
2039,17900
10078,60200
50935,18500
2581,20900
23572,41500
8664,27900
42903,18000
24904,80000
31295,16000
29765,9500
44096,8700
22515,37500
12378,21500
16271,52590
1620,28251
39140,21000
16932,60999
34816,8500
10291,62999
21672,47500
22399,38095
6125,69000
3460,69900
36937,79995
30165,29000
22215,33000
45772,86900
11128,7900
32929,12000
52509,13500
49544,36000
15837,19500
38392,26000
30840,4800
33752,7200
48842,7500
7277,13200
14047,7700
321,49500
24004,27900
26090,50927
49485,36000
3977,42995
46335,15000
39217,41250
4093,10000
5528,14000
49321,22000
38953,10000
38526,24900
46756,76000
43044,16600
8800,31995
27581,26500
12518,44800
44924,9599
44974,47000
21250,28000
26148,11500
29621,46750
19270,26000
31530,35500
12256,8500
51705,31000
17447,71999
294,17900
50536,48500
50641,31000
49669,26500
419,23000
2682,65000
23828,67000
3693,10200
14492,45000
31957,62900
26239,69500
25610,48000
19914,19500
54245,38322
34202,62000
27770,21000
10546,22999
38824,28900
5474,25900
41442,11900
31058,86999
53985,55000
47992,15999
47282,26000
32528,9250
28270,10500
5404,10700
41899,18500
46351,20995
16946,42000
35853,9900
37125,9995
21755,12500
16560,30750
17588,35200
46025,34000
32990,14000
3365,15000
37303,30000
48268,33950
20591,23995
19057,49999
46986,46000
28200,34000
6871,14900
7647,19999
17080,37500
5446,38500
4791,14500
52344,21000
46870,20997
42610,52000
7952,21000
21938,24999
28732,72777
45044,26500
52177,39985
50506,46000
30205,21250
11131,11999
16121,49999
450,7000
8634,52500
32332,38500
289,73900
9618,25625
33149,21995
52056,20900
40438,29500
13720,32300
28844,8500
34058,28500
5455,14999
49361,10000
41880,52500
33089,19500
48640,22000
51125,14900
21641,29000
46188,9950
22534,20000
52402,10000
54012,13500
9960,69685
11154,82000
38712,32000
18290,10995
40003,28500
14718,34900
4250,6999
30982,37999
29030,29500
48888,32000
49844,40250
15914,32999
28856,33000
46971,57500
29314,26999
13659,46999
3138,11000
44468,56000
33811,17950
37705,29990
36733,20800
16207,49995
18867,3500
24567,7900
44104,4200
26092,7900
42154,85500
21884,62900
40818,22000
2573,22550
31457,68995
10057,64000
6269,20500
44109,37300
30166,38000
40278,12000
18925,24995
5426,41999
26055,15999
53847,28000
8218,14900
17490,6730
21436,47995
53590,61599
41106,27999
11451,21990
32959,4400
2254,46500
45845,46900
43564,4199
1134,6500
31630,11800
16547,35999
46844,17495
37252,53000
11532,10999
18997,13000
35253,21800
21472,15499
4446,19500
2891,14500
39746,24500
2670,25500
3590,6880
21444,74500
41364,40000
39729,42499
44,29444
15654,83499
15395,48500
28951,20950
36434,37000
15620,11000
23642,38000
50052,72980
21242,53000
10909,8750
9682,43642
21660,36000
50898,12000
17046,45900
43300,9995
28877,23000
28872,59750
44843,15750
23330,57000
24467,21000
11357,19425
19907,28000
24305,42500
10042,32541
15230,10000
7890,8500
46671,6499
19253,28450
43079,43000
31588,29975
24200,49999
9890,16000
11490,57000
18010,7900
35335,2000
107,14699
49431,29000
38708,21500
39326,15600
27558,15300
10420,78000
36530,36995
10266,29500
5313,50999
44128,15000
35470,56515
46369,20000
18834,26900
47411,34645
33422,12000
28999,38490
17716,37900
52101,29444
163,13500
51627,40888
42585,39000
42723,4500
14239,75000
21386,12500
21875,33000
35938,23000
32717,42000
30212,16000
28921,21900
43039,18800
43806,7390
17728,23500
25567,38500
42261,72995
29491,19000
16986,19000
24711,26990
35276,21400
44760,37900
49194,13500
34257,64600
19443,5500
34330,23500
4430,53000
38415,32000
43500,4500
52127,26000
51871,29500
23944,28000
32689,41250
47325,27000
38695,36750
29244,9950
17085,37000
23151,34700
28031,26000
7820,17000
45676,44900
42776,46999
14136,15000
6401,35000
36775,23625
20144,55600
43189,45000
12095,38000
7160,33490
27739,17000
2731,29000
38912,13000
44333,23000
18625,8500
30473,18300
48897,86500
41272,37899
35202,11000
13619,32950
37495,28500
49446,16499
36457,17999
25572,33500
34381,49000
47199,31999
30795,22000
14315,9495
46611,42900
23305,5199
18480,50000
40197,44000
19218,12250
20641,16500
50721,64000
1230,23000
16214,3850
47906,21000
3501,35000
20538,22000
25089,32999
2752,8100
32480,36994
2423,22500
920,63900
42117,19500
30793,33900
4719,16000
29487,75000
28962,69000
40883,21000
21983,31995
45737,19500
4823,31000
10319,55000
40406,22000
30595,21500
36553,7900
15355,53999
31265,17999
1178,37000
50618,4999
37069,23300
32529,9950
50181,19996
44285,29500
15998,29994
5773,46500
48713,69000
25771,37500
23429,20000
53455,39985
40017,23995
36147,21500
28375,5500
50089,39990
51377,11500
8054,16800
25695,13800
14444,5900
16005,13450
46993,21999
47956,18650
20248,23950
38816,28000
37297,17000
43669,22999
23229,59000
26723,6000
9185,47999
17130,81500
41524,13000
44462,54500
36326,72950
34445,14950
10969,12500
551,32000
43825,17000
7090,21500
13044,35999
13907,28495
52191,5499
53874,28900
16601,17500
51890,23998
20026,31500
34240,28000
10870,29950
41081,8500
53044,33950
38421,69999
31938,8500
20760,9900
47983,39500
3090,16995
51247,12000
28739,35707
8295,47541
5006,49999
2164,15500
44445,54500
21913,11800
33125,41500
11429,33000
29611,19000
5015,60995
49537,28000
3468,43000
22951,55460
11688,52000
21944,37500
14026,36000
9835,24900
24340,36000
49751,15400
12229,5750
39438,29000
3679,6730
9865,58000
45950,6250
19671,34000
51290,17995
21211,10500
20990,20399
52295,10995
9221,5900
51835,42995
18484,18000
27869,31599
30282,12000
41202,30000
21480,36750
6064,75950
3216,14250
50995,5500
32627,26999
47389,38000
30207,30000
49758,35000
15250,37899
40430,19425
23659,45277
23388,66900
10740,11900
35684,9499
9093,15500
53873,22500
54072,24900
19957,21999
31916,13000
25928,22500
7061,18000
7212,6500
30698,55000
24811,35645
44300,7500
45284,33610
41246,20000
30496,6299
23242,16900
30061,9000
7482,14999
51630,17000
41323,32913
28450,28000
26021,6000
4382,36500
34187,15000
6126,22000
20536,33000
23643,69500
25157,26500
22800,3500
47915,4000
20218,38000
28311,63900
1327,18900
43330,15999
44570,89000
50267,9200
47308,40250
53586,37000
35661,4399
46247,26500
17509,52000
38646,35500
5105,17800
46097,34000
6463,54000
51100,13000
51122,31750
26364,32000
25093,48995
23451,17999
24932,8000
15737,28000
43737,43999
47483,20500
43870,31990
33026,25500
9787,6000
44522,7900
46199,26500
40483,51900
40500,17999
43625,18000
37855,71400
45303,16000
28582,20000
51210,19500
2015,36500
27364,28900
16599,29500
34958,17000
39000,80000
14978,27200
539,30990
46835,17500
6326,29995
17061,15000
10075,32500
804,11000
23840,17495
38492,37950
41287,3999
5586,13500
17419,75500
12914,34500
39558,30000
9061,19750
31310,9900
53238,55000
53742,15000
29408,19550
4777,67900
74,15599
17024,74500
43145,2300
33524,9450
48566,7500
1608,32000
33571,19000
30592,5699
46894,16800
8103,27950
41520,18500
10044,32500
37900,6900
14653,43000
41797,10300
1944,34000
5838,42500
34348,26497
20804,32000
373,10500
1307,60894
47218,56000
17529,75000
44320,11000
10544,38490
18538,73000
1665,26691
10525,30500
1824,12700
34551,38500
1158,20900
50086,26000
22796,18700
45949,14490
12093,45000
49795,36000
6571,29000
5071,10000
51655,8500
53170,11900
44848,6750
41212,19995
51880,22000
10679,20900
16281,8700
35823,76500
14822,55000
51313,9999
51977,60500
2422,47999
16313,15600
14605,84000
1133,54000
31618,21500
41375,44990
32989,21590
44690,33999
16449,12000
18216,3500
53377,17500
31480,66500
50420,19000
12631,29500
37164,17000
48558,8995
46250,14999
7864,36999
49441,15999
34815,69000
11023,40999
20527,25700
2448,14990
27357,7945
28166,17000
22178,16500
32206,12000
47514,7800
39599,13000
18045,7500
9516,13000
4587,39366
30583,87500
23003,36500
30194,49900
30199,12000
14635,17500
5893,8500
41161,33000
33858,33500
20022,16000
1302,16000
44416,9500
31887,7599
19491,3500
13524,20499
7640,45950
53352,62500
52957,31300
27882,6000
8394,37000
30138,52500
12744,17500
46932,22500
13093,34000
44844,15450
18537,67250
40014,15500
15487,42800
48283,12499
48494,20000
14981,38999
52487,30000
4081,24000
40794,38200
13569,9950
29980,72980
11327,47500
19478,36969
49196,70250
24106,62000
9399,6500
3646,6000
34561,48500
17118,9750
24875,40000
23638,33999
31681,42000
40012,20500
19230,44249
52903,13500
37946,41500
30084,7200
20285,31450
9867,12500
50882,78000
10034,18500
35507,39000
5677,18000
47509,8995
33526,28000
11793,69950
13605,28500
38559,12000
30465,31000
20488,87000
31347,24995
34286,24995
36438,27700
1218,29430
32824,20500
23616,13999
54183,18000
26660,42000
48026,36800
51052,5900
23693,31500
53795,31999
1612,32000
15902,8500
36870,21000
40573,11499
32492,32500
6207,9250
53270,62900
3527,32999
13471,15500
12967,14950
27803,25625
2342,15000
38949,21000
19129,47645
14074,23000
49530,27875
35765,37300
51146,5995
48473,2500
20806,17500
4833,30000
20954,15900
18093,33000
50913,79950
29772,53000
50832,66000
6108,14490
36202,22000
355,30000
27421,6800
41277,13900
11867,15000
20929,53800
41677,22999
49086,4300
45249,15700
3101,44605
2894,18700
39928,22500
31044,9500
51289,21999
29541,59000
44666,16000
47499,22000
20894,71400
12712,15000
14209,45000
31222,8500
42866,9000
28228,69000
7364,19500
30847,30000
17616,14500
21416,36500
6494,14195
29168,17500
27477,40000
26641,28300
46180,28500
12880,35999
12427,6450
53063,15500
21856,42442
46528,15500
18426,22000
6060,36990
14291,49999
2993,67000
11869,11600
2758,60000
5934,55600
29830,18900
25550,12900
33751,20999
1449,10000
43182,53000
9803,20989
16224,23500
52146,25500
37609,6999
10254,18900
11809,22995
38389,12999
38105,75950
28661,6499
27059,56750
54088,75950
48408,23000
52160,3850
26534,72999
39772,67000
16054,15000
24960,20000
35045,29444
33103,38532
14807,13895
53018,51800
1562,25221
8932,63100
37844,50500
8260,38500
23601,4999
2790,22500
29142,35000
36832,7000
40793,32000
21776,9995
13144,16000
26852,10500
147,8900
15660,86999
22115,32000
53796,38200
19013,50000
2555,17000
30046,9950
47699,41000
27725,6500
31804,9450
5238,2500
4069,78900
20501,43000
41589,31300
32253,23500
41134,28000
15339,24000
26315,33800
33698,54900
54209,17500
30611,39000
7662,33591
16877,13900
45921,22999
42982,7600
15872,23999
16186,46995
52461,87150
47053,24999
14556,17995
4949,77430
39019,47000
50354,30500
15987,10995
42771,29000
37467,7500
1661,39687
53618,35557
26539,45500
41362,18000
10289,47995
38938,53000
43656,40999
7887,26599
34999,26000
10454,6299
30544,29895
16149,3750
9337,36995
737,40900
51673,12500
15942,9975
41718,69995
10742,35500
34163,78000
3378,34000
38760,16000
29633,40888
40927,32085
51815,29500
1137,12000
20137,35995
22884,28450
53419,57999
16141,14900
34213,17100
13676,11995
37215,4495
11699,24000
34624,26000
7692,32000
32550,68000
33651,22500
18761,23750
30437,10500
19950,65000
45314,39100
8282,75000
48195,39390
50081,41500
4764,20000
51170,25925
8499,9950
31439,64000
53596,21900
47374,8950
53395,22000
30938,36000
45407,14500
39879,87500
48561,46000
4744,17900
53720,29000
38513,76740
7055,28500
4010,20995
22224,43837
43581,29000
34352,9950
45616,73500
8444,5500
21655,17500
43892,65000
3764,21865
47644,28979
25688,24950
24125,34000
41100,21000
35945,22000
48280,25000
34976,18000
21896,59000
31963,36500
47712,29000
2812,61000
2341,35500
24115,19900
52896,51900
25806,54900
40721,65999
39555,64000
18975,19977
8926,24900
21146,28000
36495,3999
25613,28000
38636,18995
40526,37900
1455,22800
5708,33900
23162,23500
41735,13995
45595,49900
44662,11500
40478,29182
40186,85989
5191,34999
8710,38900
13078,15000
38384,26000
543,8550
51962,19000
29322,27500
33525,19500
35686,10700
26938,34000
11428,10995
3028,33500
2034,4300
4894,57850
25355,4000
1886,21000
43542,19000
28624,25925
7063,25900
4313,9250
10334,25700
6719,15995
38338,57000
43211,37000
11242,15500
41588,20900
8127,18500
36144,48000
28114,8500
9916,9250
46763,36950
32811,50000
39844,85950
50541,42000
11816,32500
48383,25500
21027,15000
5606,22500
52999,35000
29876,47500
17150,18400
53800,6500
22982,21500
29505,16000
13046,51500
31483,18387
32090,81500
9989,12000
20093,63000
54024,24000
526,32000
963,45950
22032,88900
39657,14500
33001,5800
11912,50000
3046,15000
13105,29500
49025,45000
14102,48000
17462,7500
16274,10500
52216,40000
33501,7899
47577,16750
48043,29999
43906,19500
16482,8500
12919,23500
17753,88900
34281,65000
41897,44775
47885,11200
23550,14000
10074,45999
50411,9900
15365,11000
25540,38999
46837,6500
28324,47500
37276,29000
16433,24350
1472,20500
29080,17100
13820,28000
13477,23105
50823,10000
23839,64500
21363,32455
38464,67500
40769,39995
42767,26000
51589,39900
53981,52000
27804,35999
48759,7999
3041,35900
46564,10000
34000,47900
51069,27000
15046,27000
36406,39990
41135,17500
13768,73600
335,12995
39412,8500
53313,15000
23663,35000
13367,53500
17198,19780
45089,42500
36377,18700
274,11000
18868,32000
37099,11000
36697,28999
27340,50658
39514,10700
4222,8500
18326,32500
8631,44400
11064,5500
26892,41500
22318,15000
49045,69900
50742,59900
20310,48000
22457,38000
30227,33999
7665,11400
46460,35000
16729,14900
37846,72900
25441,4200
5288,30000
32302,55000
27963,18300
36643,9000
720,29500
30201,35999
11260,16750
24961,24000
45857,17000
33745,49999
23303,25500
2296,45000
28795,14500
30994,38999
44628,43000
40318,61000
44527,26000
13629,33687
32533,45500
26757,18000
31537,10000
26544,4800
12117,6699
21147,39848
33730,48995
24723,26000
38168,61995
36515,87000
4340,45000
48957,59900
24299,12500
47659,10500
31573,22888
33132,24000
28354,24000
13606,13800
33522,36300
44640,31000
36771,50900
28919,12900
47415,24440
4591,78350
1949,12000
39602,32250
13153,42000
15518,29900
44339,56999
54196,34900
35103,47500
16900,15000
50230,24900
43334,13980
15124,44888
36008,69500
27151,16488
33827,18000
14018,59000
3312,27500
8291,48000
10997,4750
2138,13998
3019,53499
41565,33610
92,15000
51769,29000
46526,38000
35147,69500
29493,29000
15692,24000
18016,34900
53152,44990
13525,37999
53017,5900
26500,15000
4806,46500
11320,12995
35317,13000
9214,32000
52106,69000
27004,22500
3411,5700
9744,9900
8248,17950
33503,31500
9346,35000
1167,22000
47832,62000
10051,23000
50527,10998
10307,35387
18979,45000
1372,16000
34485,4300
8817,38500
10108,62000
47241,32000
13603,33000
39134,5999
39452,48000
42682,26450
34235,70999
21346,55000
10227,59999
14712,56500
28016,13500
47862,12990
38543,61000
25283,33000
41242,6800
42397,18750
21317,16500
52589,15500
32014,45000
5837,38095
12514,84620
32058,35850
13218,41599
17051,15500
22321,56750
51445,29800
17293,10500
28196,38005
1308,22800
35149,38436
47975,5750
8711,5700
45990,24999
12710,30000
33315,14599
40664,6300
24585,21000
31336,52000
42584,41500
30451,38500
18037,43000
39857,26500
14534,77900
27945,21500
37035,5999
44209,28500
6158,11000
24744,6999
36812,62900
21722,9900
8071,12750
5786,10000
19823,19500
23488,10500
33360,6500
36825,35500
33768,10900
24625,46900
29720,17500
50022,29999
49594,22000
31326,16490
25826,72000
30069,23450
7271,3900
24507,2500
1429,3500
35377,9995
262,17500
32538,37995
20697,19750
3273,13500
29410,15000
46643,8750
38474,25215
45613,5500
26929,32000
7926,26095
38297,32000
28294,12000
43648,45999
50507,63000
41454,25099
14084,52500
44169,13500
18179,15750
51188,57000
40536,39999
27018,17000
43180,28890
16018,42000
16162,30000
51149,44950
25628,37500
50953,18999
24745,37995
24175,54500
152,55000
7406,16975
27663,25695
6573,28500
51668,15750
29744,22500
48924,57000
25268,8250
2091,33000
38662,64000
22747,28900
6307,8900
23767,13000
8906,11500
5866,9500
22003,33500
38794,30490
36375,35500
14333,20500
19681,44990
50408,44800
38597,47449
52839,8500
24977,2500
42705,63500
31712,46900
16169,59900
22521,44750
47428,20599
11936,51000
51793,16900
15858,17800
7579,14950
6835,31450
7420,20784
23555,11000
43456,7900
21758,41999
48076,20499
16686,24000
5587,37000
24801,45000
32064,12000
16489,74995
15258,42800
34461,18200
19872,33580
13361,20000
30599,29500
23799,34900
23802,50000
17604,41900
18706,78999
47765,10500
23610,57000
10383,8900
48763,4800
48872,17900
17526,7999
15945,7850
47449,31621
38281,66000
10787,26500
13581,32000
24601,36000
6880,27450
26049,18000
41123,19212
9555,20995
9946,49000
53988,50999
50889,7000
30265,20000
43721,35000
45402,11999
46370,41900
46776,60200
4271,40000
50296,33000
47608,3950
48955,3200
33632,60500
23625,32000
42506,15900
22886,11500
48343,5000
33927,18749
36475,41000
11389,20708
33558,12000
17657,54900
33061,17500
22556,9995
53218,6500
1959,18900
12360,18500
24751,69900
20105,39500
37148,19900
33152,70000
44514,82500
28829,24998
18629,42499
10368,14995
50942,45000
11703,65900
12051,34900
7022,12975
26106,59950
37261,15900
49278,14500
30074,16000
11248,39900
2489,10000
23507,31700
9354,40000
624,17000
2478,43500
19015,46999
41982,72000
39263,35500
53062,44900
9195,42499
23097,23995
4575,65000
43666,43000
24346,74500
19102,36900
36038,42500
21679,36800
48151,28500
29545,34950
41248,13490
25760,12000
41766,19000
36328,21990
36916,54500
22936,21999
14554,45999
50589,25500
4407,24995
33367,14500
24133,33900
23368,17999
50480,27500
49843,55000
27822,6950
15778,10500
37577,10400
31787,30500
17015,73900
32786,7500
15696,24700
32050,27450
13943,26900
43366,12500
37292,40500
38540,12400
22961,22000
37197,47500
15187,32900
25838,13000
33802,10199
20890,23950
44544,54000
24356,6500
25999,16500
44956,12499
16545,42250
50403,35000
44265,10500
31694,42000
49626,27000
8077,9000
36243,15000
52701,21750
5732,89000
5331,42500
25881,39999
12661,6995
22416,57500
52599,15500
29264,24700
4534,49995
39447,24900
17110,19500
53623,28000
52595,75000
1715,43000
27539,22999
22354,31000
40890,24995
11322,26500
52399,35999
26189,43500
18366,35000
49323,31995
1976,20900
51126,35500
24929,6900
2078,48295
22818,52000
50346,41995
35186,37500
37243,26000
34272,32000
25830,24700
39083,11000
47179,24995
38576,50000
45456,31000
19388,35000
29604,22389
20793,27000
11043,31950
1738,41950
22126,16000
31595,33500
2510,12500
50009,10500
39429,8000
12119,76740
53452,17999
9855,43900
14698,34000
32185,30500
35067,57300
35163,39000
20428,15500
11236,23000
44353,28750
31649,29999
17316,13450
29947,46999
20528,7000
49401,9000
7359,27000
28355,29500
46568,5000
15699,8700
23698,39900
3297,69000
1587,27499
45642,29500
11085,28000
29585,46787
26631,21590
39650,23750
8233,17550
44886,6499
39372,42950
27009,19995
52392,27900
49924,28900
43106,12995
29717,11000
35903,35345
9773,9500
27730,10900
36337,8500
38400,61000
13465,15000
48962,62500
44386,26000
22724,11500
24845,27000
29455,8900
26968,26950
40398,41950
21823,43000
15312,27500
45372,47500
46086,30000
53841,19500
42629,18500
16724,46999
29696,12000
53027,65900
491,24500
51738,10300
28483,17800
35231,22500
4611,35000
50471,11500
13375,29993
46753,28500
31139,48889
47400,21500
41878,65499
18489,22450
17493,28500
16987,19500
20843,16900
12164,31999
43506,48000
46646,41000
48944,50000
43626,12800
8376,13700
17522,6800
41348,35500
8272,44646
46342,17500
30638,48000
2566,44800
21466,78500
53049,15000
33145,32000
15243,15000
42819,20900
22181,20000
52460,21500
48621,36000
28229,21000
53859,37900
11834,45277
7209,12800
46973,15999
35961,44990
26348,13600
16256,61000
22390,25500
34507,65000
32911,19000
36975,6250
5936,24995
1084,29900
19447,43000
23164,34000
18507,17000
17372,22500
50704,11000
15421,31700
30930,12995
9569,5995
46303,26000
48137,34700
35346,7700
1500,64000
39406,59000
28534,87150
290,17999
24414,60000
4347,15900
43832,13000
47595,35345
22616,10500
48123,69995
24013,24900
13187,23000
47502,27000
24994,21900
6789,7500
53737,19000
35042,45000
32220,9999
35928,21900
10153,39500
29172,16500
21313,59900
2496,60500
32471,35000
49065,9950
1570,25000
21804,11995
25289,27950
17983,22999
9170,27999
10123,71000
23628,43000
26846,19900
34452,17500
48712,29500
24042,14000
47475,18900
2310,3500
47202,35000
42817,29182
34966,71999
41463,26000
34055,48950
8756,31853
44836,36880
13836,31900
5290,15000
26312,11498
21195,30000
25140,39499
45877,23500
1381,13600
22483,18000
6865,40000
27336,30089
2749,22945
38289,35000
37122,14500
39750,23800
33239,39650
12201,48000
31442,19000
20966,19900
12114,41000
3780,23600
5321,26500
44932,63000
11165,30999
23457,38900
28772,61350
28603,76000
26284,55999
10295,12300
36502,21499
25436,37500
29228,65000
48647,22000
37795,8500
49002,57999
23026,22500
29932,15995
11651,52000
12169,54000
14711,16500
24462,33900
25002,36000
46196,51499
51379,24999
4363,63500
4839,21000
453,22000
36226,31999
19201,20000
19458,15995
25621,26000
45003,15500
14819,34995
21665,16500
15495,18000
8284,12500
43767,22000
53225,26500
49213,33499
18988,65500
8196,10700
6942,37999
25259,29500
31730,29000
8183,17500
3018,40000
13793,11000
12170,35297
4473,8900
43319,26900
48830,12500
33759,32000
40547,33500
13882,29000
47882,30000
27566,19500
13715,76000
50161,20000
34908,8800
39122,9500
28262,64683
30664,11500
42455,56515
16607,46999
37973,8250
5554,14500
30677,21995
32750,16000
12372,14699
28491,31000
10772,78350
1866,11000
33723,10750
11551,59203
3714,89750
42873,32999
33075,62000
46889,20490
32086,41500
1245,9250
20544,27000
3362,11900
29471,72900
41528,3550
11219,52900
18952,7500
39205,23750
42751,5000
28569,24991
50710,85000
28757,47850
52377,38000
33384,17500
18474,53900
53292,20995
17355,26999
18101,19999
11473,36000
18046,30000
10990,5900
30397,45500
21553,15400
41647,51499
12960,15999
41653,45000
43310,25500
31169,65000
51933,42691
38885,36000
33379,19500
12998,57300
4862,21995
27341,5999
13678,7850
43246,40000
18733,12400
15015,9999
52916,32000
3485,59980
10159,26000
33314,42500
3513,23750
1089,8900
38654,55900
27193,38500
9279,32000
36761,53999
39730,8000
44678,52000
6755,49599
3577,15499
50778,21750
1695,17900
2589,19795
3017,18000
27785,2300
50088,10500
53448,11500
35653,32500
34486,50000
30565,29995
17145,6250
43062,11500
21155,49950
46888,19999
53754,40900
50671,16000
47253,54000
5115,48000
52682,31000
8352,44775
11868,37900
17872,35470
3942,6000
30329,8900
39689,22550
13734,31000
27861,29000
43925,45500
30385,18000
16221,41500
43814,18000
34194,75000
29147,16500
40671,52000
4418,11500
29743,80000
9570,17000
29004,23400
36628,50000
27524,5999
33127,38700
19659,37000
37769,39000
39703,34950
17353,19995
28604,17500
5467,12500
53636,20000
26026,55000
36473,23599
46750,7500
49170,13000
3458,19950
25595,17000
7411,15000
45266,4800
40280,38000
870,34999
40119,7000
7448,21900
31003,40000
30436,15900
49779,33900
29259,16100
52189,6000
24237,28890
51468,37000
27720,31450
23579,18300
48209,6999
21921,19000
12869,28499
28630,36999
34930,53000
53587,6999
33644,3999
6103,16995
39129,38000
38267,23999
10818,38500
11614,25215
36257,25800
46542,52000
44504,65900
25255,23800
34032,33000
23002,39000
42458,5900
7651,32500
17450,11100
48697,19000
40928,44750
3666,55999
45170,42000
16066,26000
10217,23400
48286,61000
13176,21000
20882,43500
17724,11995
18964,24700
30486,25695
15748,10500
5525,23800
8865,15550
16165,79995
10451,32541
41977,45900
18556,48000
50994,27500
45004,52999
21900,8500
49387,7900
24837,31000
48934,9500
399,6000
46312,11000
6842,5500
33613,9995
4878,42000
16973,26000
22282,30000
15180,66500
48086,42999
24480,53000
24877,12990
32676,10000
35761,21500
773,44596
32191,26125
380,39500
48130,64000
49268,33885
27142,41500
50198,7500
47613,40000
49153,48000
2586,15600
19781,5900
12198,24999
44743,33999
20151,40000
42734,50000
14375,30500
12976,27500
12534,30000
47101,44888
31973,26950
37604,27500
42956,10000
28746,34000
35057,35500
16418,23500
38831,15000
48757,39860
13893,23000
25198,23000
43118,29995
49258,17000
19787,15500
51032,9500
29423,31950
47578,38000
37474,16499
43550,36880
40367,17000
13376,20499
38522,36340
32287,32500
9446,13750
7496,40000
7598,37950
2364,35000
46298,18999
40608,41400
38473,31000
16569,15998
31390,32000
1063,56000
50534,52500
36510,39000
29345,36500
23722,32500
37477,22000
49812,24900
12166,4100
44895,34500
17581,29500
18527,31000
38441,12000
2362,35500
27252,33000
36938,12700
24820,22999
10395,19000
29886,6500
43552,14000
50890,46500
8639,17999
13482,3500
4100,26500
33557,9000
26371,26000
14600,33000
8749,3750
52041,20000
10701,9500
52383,9495
14286,73000
36867,22000
36713,15500
34037,12500
27092,7500
33004,5000
45802,59980
51427,13500
2269,39500
47139,12000
28478,21000
17945,10500
28153,29995
15866,7500
1736,15100
14016,41000
20739,18995
36180,18500
26020,12000
32355,17000
5519,47500
4993,20900
31795,28499
38261,31000
15203,22000
29444,55999
34961,29000
37885,12995
45340,53500
1146,10340
49077,32000
2923,25000
1649,11999
15821,28196
665,40000
13485,47000
16610,3850
27302,41500
32649,14750
38067,45985
35139,35000
31903,8000
35557,24995
52014,8500
7950,73500
5722,31500
32866,12500
32130,14000
31275,42850
4190,76000
942,63997
35445,12433
11545,36000
